]633;E;{   echo -e "path\\tclassification\\trole\\tauthority_source\\twhy\\tsafe_action"\x3b   while IFS= read -r p\x3b do     if [[ "$p" == "$PACK"/* ]]\x3b then       echo -e "$p\\tBELONGS_TO_FUTURE_BOUNDARY\\tCURRENT_PROOFPACK_PATH\\tCURRENT_LANE_APPEND_ONLY\\tcurrent lane proof artifacts not part of isolated bucket-c boundary\\tHOLD_FOR_LATER"\x3b     elif [[ "$p" == proof_packs/* ]]\x3b then       echo -e "$p\\tLOCAL_ONLY_HISTORICAL\\tHISTORICAL_PROOFPACK_PATH\\tNO_BROAD_UNTRACKED_COMMIT_POLICY\\thistorical proof-pack residue intentionally excluded from current isolated commit\\tKEEP_LOCAL"\x3b     else       echo -e "$p\\tOUTLIER_NEEDS_GOVERNANCE\\tOTHER\\tUNTRACKED_OUTSIDE_PROOFPACK_SCOPE\\tpath outside proof-pack residue universe\\tBLOCK"\x3b     fi\x3b   done < "$RAW/post_commit_untracked_set.txt"\x3b } > "$RAW/post_commit_untracked_classification.tsv";199d0c27-f4ce-46bc-94d0-1da272f867dc]633;Cpath	classification	role	authority_source	why	safe_action
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/00_EXEC_SUMMARY.md	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	NO_BROAD_UNTRACKED_COMMIT_POLICY	historical proof-pack residue intentionally excluded from current isolated commit	KEEP_LOCAL
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/01_BOOTSTRAP.md	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	NO_BROAD_UNTRACKED_COMMIT_POLICY	historical proof-pack residue intentionally excluded from current isolated commit	KEEP_LOCAL
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/02_BASELINE_REFERENCE.md	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	NO_BROAD_UNTRACKED_COMMIT_POLICY	historical proof-pack residue intentionally excluded from current isolated commit	KEEP_LOCAL
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/03_TRIGGER_CAPTURE.md	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	NO_BROAD_UNTRACKED_COMMIT_POLICY	historical proof-pack residue intentionally excluded from current isolated commit	KEEP_LOCAL
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/04_THRESHOLD_VALIDATION.md	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	NO_BROAD_UNTRACKED_COMMIT_POLICY	historical proof-pack residue intentionally excluded from current isolated commit	KEEP_LOCAL
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/05_TRIGGER_CLASSIFICATION.md	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	NO_BROAD_UNTRACKED_COMMIT_POLICY	historical proof-pack residue intentionally excluded from current isolated commit	KEEP_LOCAL
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/06_DELTA_SCOPE.md	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	NO_BROAD_UNTRACKED_COMMIT_POLICY	historical proof-pack residue intentionally excluded from current isolated commit	KEEP_LOCAL
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/07_ALLOWED_WAKE_PATH.md	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	NO_BROAD_UNTRACKED_COMMIT_POLICY	historical proof-pack residue intentionally excluded from current isolated commit	KEEP_LOCAL
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/08_RESIDUAL_RISKS.md	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	NO_BROAD_UNTRACKED_COMMIT_POLICY	historical proof-pack residue intentionally excluded from current isolated commit	KEEP_LOCAL
proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/09_ACTIVATION_DECISION.md	LOCAL_ONLY_HISTORICAL	HISTORICAL_PROOFPACK_PATH	NO_BROAD_UNTRACKED_COMMIT_POLICY	historical proof-pack residue intentionally excluded from current isolated commit	KEEP_LOCAL
