status	path	bucket_match	commit_role	bucket_match_proof	safe_action
 M	.titane-security-config.json	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	deployment/latest/MANIFEST.json	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	index.html	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	memory/memory_core_state.json	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	registry/autofix-autoheal-rules.jsonl	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	runtime/stable/manifest.json	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	runtime/stable/tauri.conf.json	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	scripts/autoheal/autoheal_rules.jsonl	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	scripts/check_forbidden_files.sh	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	scripts/titane-infinity.desktop	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	src/App.tsx	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	src/entry.ts	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
 M	titane-infinity.desktop	MATCHES_NO_BUCKET	RUNTIME_BUCKET	belongs_bucket_C_or_unplanned	BLOCK
??	proof_packs/AUTHORIZED_TRIGGER_ACTIVATION_2026-03-07_0838_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/BASELINE_MONITOR_MODE_2026-03-07_1300_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/COMMIT_BOUNDARY_2026-03-07_1602_0af062e88/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
