count	file
75	src-tauri/src/mock_commands.rs
31	src-tauri/src/audio/commands.rs
28	src-tauri/src/persistence/commands.rs
27	src-tauri/src/singularity_fusion/auto_heal.rs
25	src-tauri/src/memory_os/api.rs
22	src-tauri/src/identity/commands.rs
20	src-tauri/src/control_panel_commands.rs
20	src-tauri/src/evolution/evolution_commands.rs
20	src-tauri/src/commands/self_healing_commands.rs
19	src-tauri/src/avatar/avatar_floating_commands.rs
19	src-tauri/src/commands/orchestration_center.rs
18	src-tauri/src/conversation_engine/commands.rs
18	src-tauri/src/commands/devtools.rs
18	src-tauri/src/meta/commands.rs
18	src-tauri/src/overdrive/voice_engine.rs
17	src-tauri/src/secure_commands.rs
17	src-tauri/src/memory_evolution/commands.rs
17	src-tauri/src/singularity_state/commands.rs
16	src-tauri/src/commands/ai_chat.rs
16	src-tauri/src/multimodal/commands.rs
16	src-tauri/src/singularity_fusion/auto_fix.rs
16	src-tauri/src/commands/ia_context_commands.rs
16	src-tauri/src/cloud/commands.rs
16	src-tauri/src/commands/cognitive_center.rs
16	src-tauri/src/devtools/api.rs
15	src-tauri/src/overdrive/project_autopilot.rs
15	src-tauri/src/commands/evolution.rs
15	src-tauri/src/singularity_os/api.rs
15	src-tauri/src/ai_chat/training_commands.rs
13	src-tauri/src/commands/mod.rs
13	src-tauri/src/api/memory_api.rs
12	src-tauri/src/overdrive/api_bridge.rs
12	src-tauri/src/overdrive/exp_engine.rs
12	src-tauri/src/engines/unified_memory/api.rs
12	src-tauri/src/commands/persistent_memory.rs
12	src-tauri/src/singularity_fusion/fusion_engine.rs
11	src-tauri/src/overdrive/chat_orchestrator.rs
11	src-tauri/src/commands/governance_commands.rs
11	src-tauri/src/hyper_intelligence/commands.rs
11	src-tauri/src/overdrive/memory_engine.rs
11	src-tauri/src/commands/one_core.rs
10	src-tauri/src/avatar/appearance_commands.rs
10	src-tauri/src/meta_orchestrator/commands.rs
10	src-tauri/src/reality_renderer/commands.rs
10	src-tauri/src/overdrive/semantic_kernel.rs
10	src-tauri/src/singularity/singularity_commands.rs
9	src-tauri/src/auth/commands.rs
9	src-tauri/src/avatar/avatar_commands.rs
9	src-tauri/src/singularity_fusion/crash_guard.rs
9	src-tauri/src/commands/engine_v14.rs
